,name,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,clouds.all
0,New York Mills,19.76,19.1,19.0,20.56,1015,68,2.6,270,1
1,Chicago,27.88,29.8,27.78,28.33,1014,74,4.6,230,75
2,San Francisco,14.19,14.89,13.33,15.56,1011,94,0.45,253,0
3,Austin,29.34,32.25,28.0,30.56,1019,78,5.1,200,40
4,East Los Angeles,18.1,18.16,17.0,19.0,1014,72,1.23,210,40
5,Charlotte,28.7,31.16,27.22,29.44,1019,58,1.5,0,20
6,Houston,30.74,34.29,30.0,31.67,1019,74,4.6,160,75
7,Lake Dallas,29.88,30.34,28.89,30.56,1018,66,6.7,200,1
8,San Diego,28.0,31.88,28.0,28.0,1018,78,2.6,180,1
9,Philadelphia,25.92,27.54,25.0,26.67,1016,74,3.6,210,40
10,Denver,28.14,31.74,25.0,30.0,1019,69,1.5,240,1
11,San Antonio,29.28,30.01,27.0,31.0,1018,62,5.1,160,20
12,San Jose,17.69,18.4,16.67,18.89,1013,77,0.6,236,40
13,Phoenix,32.86,30.51,31.67,33.89,1012,19,2.1,120,40
14,Jersey City,30.85,35.28,29.0,32.22,1018,70,2.6,200,1
15,Tempe,32.65,30.26,31.11,33.89,1012,19,2.1,120,40
16,Seattle,15.28,15.0,13.33,17.22,1021,77,0.98,15,1
17,Columbus,27.74,30.02,26.67,28.89,1018,69,3.1,180,20
18,Irving,29.85,30.09,28.89,31.11,1018,62,6.2,220,20
19,Plano,29.83,31.38,28.89,30.56,1018,66,5.1,180,5
0,Salt Lake City,23.74,19.99,22.22,25.0,1019,25,3.1,160,40
1,Santa Clara,17.71,18.53,16.67,18.89,1013,77,0.45,257,40
2,El Segundo,17.05,17.25,16.0,18.33,1014,82,1.5,0,75
3,Jacksonville,30.5,35.08,29.0,31.67,1020,70,2.1,300,20
4,Norfolk,30.64,34.37,29.44,31.67,1018,66,2.6,360,1
5,San Mateo,16.01,16.08,13.33,17.22,1013,77,0.77,231,90
6,Burbank,18.66,19.33,16.67,21.11,1014,77,1.12,186,1
7,Indianapolis,23.35,26.06,22.0,25.0,1017,94,3.1,170,20
8,Fort Worth,29.22,28.29,27.78,30.56,1018,66,8.2,200,1
9,Sunnyvale,17.64,18.02,16.67,18.89,1013,88,2.1,360,20
10,Mountain View,17.38,17.66,15.56,18.89,1013,88,2.1,360,21
11,Scottsdale,32.73,30.84,31.0,34.44,1014,22,2.1,190,1
12,Palo Alto,17.0,17.14,15.56,18.33,1013,88,2.1,360,25
13,Brooklyn,30.11,34.12,28.0,31.67,1018,70,2.6,200,1
14,Cupertino,17.67,18.49,16.67,18.89,1013,77,0.44,245,40
15,Hampton,30.57,36.19,29.44,32.0,1019,74,1.5,100,1
16,Long Beach,17.37,18.38,16.67,18.33,1014,88,1.05,272,90
17,Redwood City,16.68,17.13,15.56,17.78,1013,88,1.5,80,90
18,Menlo Park,16.87,17.39,15.56,17.78,1013,88,1.5,80,90
19,Oakland,14.44,14.59,13.33,15.56,1013,92,1.19,295,0
0,Redmond,14.73,14.97,12.22,17.22,1019,86,0.73,3,0
1,Wilmington,29.82,32.56,28.33,31.11,1019,62,2.6,240,1
2,Richardson,29.82,31.37,28.89,30.56,1018,66,5.1,180,5
3,Centennial,19.15,17.63,17.22,20.56,1004,66,3.34,343,36
4,Downers Grove,26.61,30.25,26.11,27.22,1013,83,2.68,274,89
5,Foster City,16.49,16.88,15.0,17.78,1013,88,1.5,80,90
6,Lake Success,30.28,31.85,28.89,31.67,1017,48,1.77,262,20
7,Santa Monica,17.16,17.3,16.0,19.0,1015,87,2.1,200,90
8,Arlington,29.38,29.42,27.78,30.0,1018,70,7.7,180,1
